date,AAPL,AMZN,GOOG,META,MSFT,NVDA,UNH
2019-09-30,54.1240574881,86.7955,60.7997480347,177.5472442854,132.5211403402,4.3306046385,201.9473594379
2019-10-01,54.2738852134,86.7825,60.1064613262,175.2840353651,130.6529001397,4.3288631418,201.8451405463
2019-10-02,52.9133528043,85.6615,58.6864704922,174.0776552799,128.3461954025,4.3049797589,201.4176797265
2019-10-03,53.3628359803,86.221,59.2450899984,178.8433551209,129.8998849569,4.5107251508,200.1260046409
2019-10-04,54.8586966574,86.9825,60.3009806185,179.9101540392,131.6537431043,4.5271449765,204.2519308138
2019-10-07,54.8707795385,86.633,60.2351433195,179.1424576213,130.7005593285,4.5858582927,205.5900690321
2019-10-08,54.2279702653,85.2755,59.3099297625,177.2182315349,129.3184428537,4.4092207737,204.5400022358
2019-10-09,54.8635298099,86.0995,59.967305217,179.3119490383,131.7681251573,4.4957980365,206.3706496594
2019-10-10,55.6030021317,86.013,60.2845212937,179.4914105386,132.5878632045,4.5535162117,207.9039330345
2019-10-11,57.0819467753,86.596,60.6226856019,183.6389652119,133.1407097944,4.6271566422,206.3613570329
2019-10-14,56.9997831839,86.8215,60.7069772953,182.7316876271,133.0167959036,4.640591045,204.9860483085
2019-10-15,56.8668714921,88.369,61.997288601,188.3249043861,134.9422271305,4.8853957193,221.7127760367
2019-10-16,56.6372967517,88.8715,62.0287109482,188.9829298872,133.8365339507,4.8316581079,220.2259557942
2019-10-17,56.8572051873,89.374,62.4990486217,189.8204168885,133.1502416322,4.8336483898,226.4334303067
2019-10-18,57.1302782996,87.8755,62.1209829202,185.2939990479,130.9769826235,4.7391099993,227.9852989348
2019-10-21,58.1210745477,89.283,62.1539015697,189.1923016375,131.9492300747,4.8764394507,226.6657459695
2019-10-22,57.9881628559,88.2865,61.9868144852,181.7944997923,129.9856714967,4.8664880412,231.8324463122
2019-10-23,58.7663003971,88.1085,62.8013016759,185.5931015484,130.8149413816,4.8535512088,230.2712850576
2019-10-24,58.8629634457,89.039,62.8940724153,185.8224134654,133.3885375761,4.8975861959,227.214010934
2019-10-25,59.5879363102,88.0665,63.1005621256,187.3278960512,134.1415527589,5.0886532587,227.5857159946
2019-10-28,60.1848306354,88.854,64.3409966897,188.8333786369,137.439568623,5.1446299373,229.5743380689
2019-10-29,58.7928827355,88.1355,62.9753715041,188.7436478868,136.143238688,5.0483500502,234.4436743631
2019-10-30,58.7856330068,88.9995,62.9090354378,187.6868190517,137.8399058088,5.0503403321,236.7761236186
2019-10-31,60.1147499251,88.833,62.8501808827,191.0766473905,136.6579579269,5.001080855,234.8246720503
2019-11-01,61.8208527329,89.572,63.5300008709,193.0407538103,136.9915722484,5.0401401373,234.369333351
2019-11-04,62.2268375371,90.233,64.4093278257,194.1374629788,137.7827147822,5.2369292606,233.4772412055
2019-11-05,62.1374242171,90.0855,64.4422464752,193.7386596448,137.6969282424,5.2147873744,232.5944416865
2019-11-06,62.1640065555,89.7885,64.4307748246,190.976946557,137.3156547321,5.1655278973,232.7988794699
2019-11-07,62.8793131151,89.41,65.2816720366,189.8503271386,137.5062914873,5.1831916492,238.3186996202
2019-11-08,63.0513992744,89.294,65.4068626581,190.2690706392,139.126703906,5.1692596759,238.7926235725
2019-11-11,63.5506915113,88.5825,64.7993639452,189.0427503873,139.2696814724,5.1792110854,236.116347136
2019-11-12,63.492521542,88.9,64.7799120159,193.888210895,140.1847378971,5.2147873744,237.1942918118
2019-11-13,64.1008824714,87.6555,64.7400106226,192.6120402263,140.4135020032,5.1889137097,235.6331305571
2019-11-14,63.6573364551,87.73,65.4113515649,192.5721598929,141.128389835,5.2192655087,237.7332641497
2019-11-15,64.4135460566,86.9745,66.5789660862,194.5163261461,142.9489708467,5.0799457754,250.3433583314
2019-11-18,64.7383283855,87.6265,65.8722126574,196.8094453164,143.3016488437,5.281213033,253.6236554914
2019-11-19,64.5420047389,87.6395,65.6108585313,198.7237013195,143.3493080325,5.1744841659,254.8316969385
2019-11-20,63.7906426349,87.2765,64.9918881678,196.9191162333,143.1014802508,5.2538466568,256.067616265
2019-11-21,63.5046402856,86.7355,64.9070977071,197.3378597339,142.9675796544,5.228968133,256.9875862901
2019-11-22,63.448894065,87.286,64.6073384899,198.225197152,143.0727872659,5.2466318849,257.257072459
2019-11-25,64.5613947287,88.692,65.1734395073,199.1922952369,144.6413371095,5.5033782505,262.6746737177
2019-11-26,64.0572549944,89.847,65.5155939548,198.3747484023,145.4064833748,5.3986396653,261.4945101502
2019-11-27,64.917685791,90.9255,65.4876629795,201.3956836571,145.6838488959,5.4334695987,260.8161484145
2019-11-29,64.7746846163,90.04,65.0871527443,201.0367606565,144.7848020343,5.3961244539,260.0727382933
2019-12-02,64.025746261,89.08,64.3370065504,199.1025644868,143.0345299526,5.2096476976,259.8775931364
2019-12-03,62.8841606126,88.498,64.6043458854,198.225197152,142.804986073,5.1700618441,257.3128282181
2019-12-04,63.4391990701,88.0345,65.8642323788,198.1155262352,143.3214598021,5.2138801473,259.5616438349
