date,AAPL,AMZN,AVGO,BRK-B,FB,GOOG,JPM,LLY,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2019-09-30,222.1837555517,1735.91,268.741930285,208.02,178.08,60.95,114.7697929363,110.094558767,137.8028738176,4.3311,122.0481858444,240.87,215.6295004706,171.1853633322,67.4253404858
2019-10-01,222.79881082,1735.65,267.5543142638,206.71,175.81,60.255,112.6828921216,109.2380599194,135.8601734459,4.3293,121.5281220199,244.69,215.520356144,173.4544327374,65.8402099772
2019-10-02,217.213712174,1713.23,262.9011957549,203.1,174.6,58.8315,110.4399613395,105.3395134407,133.461533191,4.3054,118.8100525972,243.13,215.0639344147,169.0158145149,64.1213937632
2019-10-03,219.0588779789,1724.42,267.1454628467,204.98,179.38,59.3915,110.283931372,105.6250130565,135.0771462552,4.5112,119.4576792467,233.03,213.6847470152,172.0412403886,64.9139590174
2019-10-04,225.1995104157,1739.65,273.9596531318,208.08,180.45,60.45,112.672646527,106.5208911615,136.9009057879,4.5276,121.6753098947,231.43,218.0902089243,175.1363306738,65.8593079352
2019-10-07,225.249111647,1732.66,268.7516648425,207.24,179.68,60.384,112.426893939,106.1566330309,135.9097321288,4.5863,120.5370569957,237.72,219.5190073813,174.0615083239,64.9521549333
2019-10-08,222.610326141,1705.51,263.1542942512,204.09,177.75,59.4565,109.9202175418,105.5265649131,134.4725303232,4.4097,118.6628647223,240.05,218.3977974811,171.5933977428,63.6916897097
2019-10-09,225.2193509082,1721.99,265.8994394803,206.69,179.85,60.1155,110.7164559268,105.6348578709,137.019846627,4.4963,119.6931798465,244.53,220.3524731479,174.0416042063,64.3983141532
2019-10-10,228.2549462647,1720.26,267.1649319618,206.86,180.03,60.4335,112.2696122827,105.2607549259,137.8722559737,4.554,119.6539297465,244.74,221.9896380466,174.0416042063,65.1717814496
2019-10-11,234.3261369776,1731.92,273.4534561392,208.08,184.19,60.7725,114.1668222617,106.6784081909,138.447136696,4.6276,118.8198651222,247.89,220.3425509364,176.2111530236,65.8688569141
2019-10-14,233.9888486047,1736.43,274.1835479555,207.91,183.28,60.857,114.4715554708,106.2255467313,138.3182841203,4.6411,117.7993625231,256.96,218.8740636334,176.5097147875,66.0598364935
