date,AAPL,AMZN,AVGO,BRK-B,GOOG,JPM,LLY,META,MSFT,NVDA,PG,TSLA,UNH,V,XOM
2019-09-30,54.1240574881,86.7955,23.7871213865,208.02,60.7997480347,101.0192783554,104.2128726265,177.5472442854,132.7875499763,4.3306046385,109.2159534001,16.058,201.9473594379,165.7356621806,54.7159326128
2019-10-01,54.2738852134,86.7825,23.6820020759,206.71,60.1064613262,99.1824081397,103.40213133,175.2840353651,130.915554019,4.3288631418,108.7505694533,16.3126666667,201.8451405463,167.932495561,53.4295928856
2019-10-02,52.9133528043,85.6615,23.2701411702,203.1,58.6864704922,97.2082018332,99.7118606012,174.0776552799,128.6042120716,4.3049797589,106.3182797691,16.2086666667,201.4176797265,163.6351811414,52.0347666754
2019-10-03,53.3628359803,86.221,23.6458134607,204.98,59.2450899984,97.0708657423,99.9821077,178.8433551209,130.1610250361,4.5107251508,106.8978144953,15.5353333333,200.1260046409,166.5642923153,52.677936539
2019-10-04,54.8586966574,86.9825,24.2489570464,208.08,60.3009806185,99.1733900649,100.8301244584,179.9101540392,131.9184089961,4.5271449765,108.8822818911,15.4286666667,204.2519308138,169.5608501281,53.4450909546
2019-10-07,54.8707795385,86.633,23.7879830202,207.24,60.2351433195,98.9570809782,100.4853264358,179.1424576213,130.9633090179,4.5858582927,107.8637057056,15.848,205.5900690321,168.5202448426,52.708932677
2019-10-08,54.2279702653,85.2755,23.2925436463,204.09,59.3099297625,96.750728294,99.8889190453,177.2182315349,129.5784140494,4.4092207737,106.1865673313,16.0033333333,204.5400022358,166.1307067797,51.6860601228
2019-10-09,54.8635298099,86.0995,23.5355243479,206.69,59.967305217,97.4515697349,99.9914265655,179.3119490383,132.0330209935,4.4957980365,107.1085543957,16.302,206.3706496594,168.5009743744,52.2594886759
2019-10-10,55.6030021317,86.013,23.6475367281,206.86,60.2845212937,98.8186431627,99.6373096774,179.4914105386,132.8544069748,4.5535162117,107.073431079,16.316,207.9039330345,168.5009743744,52.8871604705
2019-10-11,57.0819467753,86.596,24.2041520944,208.08,60.6226856019,100.488549312,100.979226306,183.6389652119,133.4083649622,4.6271566422,106.3270605983,16.526,206.3613570329,170.6014554136,53.4528399891
2019-10-14,56.9997831839,86.8215,24.2687746214,207.91,60.7069772953,100.7567725795,100.5505584941,182.7316876271,133.284201965,4.640591045,105.4138543631,17.1306666667,204.9860483085,170.8905124373,53.6078206791
2019-10-15,56.8668714921,88.369,25.0149494003,209.38,61.997288601,103.7937521566,102.2279542799,188.3249043861,135.2135039211,4.8853957193,102.9113180454,17.1926666667,221.7127760367,172.2298099807,53.7937975072
2019-10-16,56.6372967517,88.8715,24.8564088006,209.29,62.0287109482,103.5514859795,100.5971528215,188.9829298872,134.1055879463,4.8316581079,103.2010854085,17.3166666667,220.2259557942,171.3819093777,52.8716624015
2019-10-17,56.8572051873,89.374,24.9382640015,208.62,62.4990486217,104.1311943318,101.0724149608,189.8204168885,133.417915962,4.8336483898,103.0657728308,17.4646666667,226.4334303067,171.4493560166,52.801921091
2019-10-18,57.1302782996,87.8755,24.7056229042,208.76,62.1209829202,104.3128939646,101.2401545394,185.2939990479,131.2402880116,4.7391099993,103.8080796916,17.13,227.9852989348,169.3006988068,52.3912222624
2019-10-21,58.1210745477,89.283,24.9503268733,211.49,62.1539015697,106.8999506414,100.5598773596,189.1923016375,132.2144899894,4.8764394507,105.2308345082,16.9,226.6657459695,169.9944356637,53.2668631611
2019-10-22,57.9881628559,88.2865,24.7685221638,210.62,61.9868144852,107.9728437114,102.3584183966,181.7944997923,130.2469840342,4.8664880412,107.9703003041,17.0386666667,231.8324463122,164.6276102562,53.5380793686
2019-10-23,58.7663003971,88.1085,24.1533157064,210.96,62.8013016759,108.2583717058,100.0846152203,185.5931015484,131.0779210153,4.8535512088,108.694933192,16.9786666667,230.2712850576,165.070831026,54.0495156457
2019-10-24,58.8629634457,89.039,24.3247808115,210.26,62.8940724153,108.1805004346,100.4946453012,185.8224134654,133.6566909565,4.8975861959,110.2767537645,19.9786666667,227.214010934,169.7342843424,53.5380793686
2019-10-25,59.5879363102,88.0665,24.9718677156,211.8,63.1005621256,109.0457367814,102.6938975538,187.3278960512,134.4112199394,5.0886532587,108.915857853,21.8753333333,227.5857159946,171.3626389095,53.6620639206
2019-10-28,60.1848306354,88.854,25.1209303446,212.86,64.3409966897,109.4610502278,105.2938610218,188.8333786369,137.7158658641,5.1446299373,109.1191085411,21.8473333333,229.5743380689,173.2800505003,53.1893728161
2019-10-29,58.7928827355,88.1355,24.8288365224,213.01,62.9753715041,109.3918313201,104.0637707788,188.7436478868,136.4169298937,5.0483500502,109.2251523783,21.0813333333,234.4436743631,171.1506637587,53.034392126
2019-10-30,58.7856330068,88.9995,25.0080563307,213.25,62.9090354378,108.7861658774,105.0422516539,187.6868190517,138.117007855,5.0503403321,110.4093085611,21.0006666667,236.7761236186,172.7115716869,52.476461642
2019-10-31,60.1147499251,88.833,25.2329427248,212.58,62.8501808827,108.0853244365,106.1884721075,191.0766473905,136.9326838819,5.001080855,110.0293181442,20.9946666667,234.8246720503,172.3357975561,52.3602261244
2019-11-01,61.8208527329,89.572,25.5551937263,215.83,63.5300008709,110.5772051151,104.8465554789,193.0407538103,137.2669688743,5.0401401373,109.4637510122,20.8873333333,234.369333351,174.3302910199,53.9332801282
2019-11-04,62.2268375371,90.233,26.2798276629,217.98,64.4093278257,111.4597461888,105.4056874075,194.1374629788,138.0597018563,5.2369292606,105.2219975218,21.1646666667,233.4772412055,172.4225146632,55.5373302699
2019-11-05,62.1374242171,90.0855,27.0587445221,220.88,64.4422464752,111.7020123659,103.6723784288,193.7386596448,137.9737428582,5.2147873744,105.0717687523,21.148,232.5944416865,169.936624259,56.6376931691
2019-11-06,62.1640065555,89.7885,26.9829207571,222.0,64.4307748246,111.8750596353,106.0673268563,190.976946557,137.5917028669,5.1655278973,106.3266208265,21.772,232.7988794699,170.322033624,55.3978476489
2019-11-07,62.8793131151,89.41,26.8605687726,222.74,65.2816720366,112.480725078,105.0888459813,189.8503271386,137.7827228626,5.1831916492,105.7080317759,22.3693333333,238.3186996202,171.9214824887,56.5757008931
2019-11-08,63.0513992744,89.294,27.0044615994,221.31,65.4068626581,112.8095148898,105.7970797575,190.2690706392,139.4063928256,5.1692596759,105.7787276674,22.476,238.7926235725,172.4417851314,55.5140831664
2019-11-11,63.5506915113,88.5825,26.9475937756,220.85,64.7993639452,112.4115061703,105.1168025777,189.0427503873,139.5496578224,5.1792110854,105.4517591691,23.006,236.116347136,172.9909934766,55.1767784361
2019-11-12,63.492521542,88.9,27.1871279425,220.89,64.7799120159,111.7539265467,105.4616006004,193.888210895,140.4665538015,5.2147873744,105.3987372505,23.3286666667,237.1942918118,173.183698159,54.415881719
2019-11-13,64.1008824714,87.6555,27.0268640755,219.77,64.7400106226,111.1655658309,105.1074837122,192.6120402263,140.6957777963,5.1889137097,106.618241379,23.074,235.6331305571,172.8657354329,53.968756844
2019-11-14,63.6573364551,87.73,26.6218962394,219.36,65.4113515649,111.2693941925,104.4039093687,192.5721598929,141.4121027799,5.2192655087,106.4856865824,23.29,237.7332641497,173.4823904169,53.7334279624
2019-11-15,64.4135460566,86.9745,26.9613799147,219.74,66.5789660862,112.074063995,106.0910180577,194.5163261461,143.2363437384,5.0799457754,106.5210345282,23.478,250.3433583314,173.5016930473,54.2746843901
2019-11-18,64.7383283855,87.6265,26.8028393151,219.35,65.8722126574,113.017171613,106.9158267501,196.8094453164,143.5897307304,5.281213033,107.7140276974,23.3326666667,253.6236554914,173.3955285803,53.7491165545
